Emotion,Suddenness,Goal_relevance,Conduciveness,Power
Boredom,0.0043,0.06991,0.57037,0.46979
Boredom,0.00428,0.16368,0.16473,0.48914
Boredom,0.07775,0.03963,0.97948,0.42496
Boredom,0.01458,0.04835,0.7457,0.54261
Boredom,0.003,0.00494,0.96317,0.51781
Boredom,0.02169,0.14134,0.57128,0.49367
Boredom,0.0543,0.12398,0.96759,0.56503
Boredom,0.03973,0.10237,0.3852,0.36744
Boredom,0.02236,0.05027,0.08044,0.50068
Boredom,0.0268,0.12056,0.45275,0.4531
Boredom,0.01351,0.04898,0.89772,0.50168
Boredom,0.01325,0.03882,0.07186,0.57598
Boredom,0.06407,0.07277,0.9494,0.44014
Boredom,0.0105,0.19221,0.78442,0.48461
Boredom,0.06922,0.18734,0.42861,0.53652
Boredom,0.02674,0.09162,0.16963,0.49141
Boredom,0.01486,0.09621,0.25798,0.49484
Boredom,0.04636,0.17009,0.49716,0.48153
Boredom,0.01125,0.06979,0.13664,0.56714
Boredom,0.00893,0.02004,0.95927,0.52926
Boredom,0.01222,0.05753,0.09209,0.53181
Boredom,0.01547,0.06293,0.26168,0.53937
Boredom,0.04627,0.09083,0.01073,0.52079
Boredom,0.05696,0.09325,0.06238,0.52306
Boredom,0.04252,0.13396,0.0779,0.4444
Boredom,0.02597,0.06744,0.48428,0.52044
Boredom,0.03638,0.02517,0.27726,0.49891
Boredom,0.01416,0.09971,0.34263,0.42236
Boredom,0.02021,0.01186,0.24173,0.39751
Boredom,0.02577,0.02452,0.53901,0.53773
Boredom,0.06583,0.03721,0.042,0.38726
Boredom,0.08013,0.13475,0.25549,0.47326
Boredom,0.06771,0.0611,0.22752,0.48747
Boredom,0.02159,0.0845,0.19629,0.43492
Boredom,0.02066,0.12747,0.01003,0.51016
Boredom,0.07894,0.16136,0.4261,0.52428
Boredom,0.03856,0.03794,0.25138,0.4235
Boredom,0.03479,0.04916,0.15847,0.57168
Boredom,0.04464,0.02116,0.8779,0.55449
Boredom,0.05423,0.15896,0.80184,0.48692
Boredom,0.01229,0.10376,0.73765,0.57629
Boredom,0.00467,0.04445,0.75549,0.52918
Boredom,0.04333,0.10813,0.17945,0.52651
Boredom,0.0073,0.03132,0.126,0.57766
Boredom,0.08481,0.02832,0.86926,0.43834
Boredom,0.06803,0.04089,0.50063,0.48257
Boredom,0.05047,0.02241,0.48275,0.50532
Boredom,0.03721,0.04569,0.03767,0.47045
Boredom,0.06972,0.03124,0.04916,0.50326
Boredom,0.00091,0.28384,0.08648,0.54779
Boredom,0.0036,0.00048,0.34634,0.44699
Boredom,0.05911,0.00953,0.56386,0.43372
Boredom,0.01828,0.05476,0.45221,0.57577
Boredom,0.11422,0.14018,0.83553,0.45787
Boredom,0.06955,0.07057,0.88855,0.56878
Boredom,0.04025,0.02249,0.1567,0.59502
Boredom,0.14163,0.09737,0.47614,0.46155
Boredom,0.03268,0.15524,0.21625,0.49192
Boredom,0.04138,0.06795,0.35844,0.50679
Boredom,0.01342,0.04346,0.83287,0.45084
Boredom,0.01468,0.06319,0.05715,0.52217
Boredom,0.03645,0.07633,0.05342,0.51587
Boredom,0.00016,0.09812,0.48495,0.48432
Boredom,0.0428,0.10086,0.89075,0.55276
Boredom,0.02633,0.02814,0.18557,0.49704
Boredom,0.03511,0.04145,0.40748,0.47291
Boredom,0.02971,0.03861,0.23054,0.50291
Boredom,0.0714,0.13967,0.822,0.4886
Boredom,0.02918,0.10856,0.55099,0.49488
Boredom,0.04272,0.10383,0.62988,0.49697
Boredom,0.01604,0.00758,0.00923,0.45882
Boredom,0.00455,0.07439,0.98386,0.52393
Boredom,0.05792,0.06586,0.60183,0.53938
Boredom,0.01918,0.03442,0.6609,0.50881
Boredom,0.07184,0.09713,0.4616,0.5046
Boredom,0.07226,0.11177,0.83939,0.50304
Boredom,0.03509,0.03998,0.0417,0.45509
Boredom,0.0404,0.05187,0.91554,0.50566
Boredom,0.04783,0.0332,0.1244,0.56136
Boredom,0.02772,0.00611,0.49272,0.44437
Boredom,0.10953,0.03174,0.56802,0.56465
Boredom,0.06029,0.03123,0.86268,0.55688
Boredom,0.01868,0.12505,0.01926,0.51672
Boredom,0.07,0.04993,0.33036,0.55535
Boredom,0.00658,0.14895,0.53983,0.49082
Boredom,0.03462,0.0996,0.85771,0.47277
Boredom,0.0315,0.03958,0.0906,0.47636
Boredom,0.00696,0.06481,0.24188,0.56272
Boredom,0.01422,0.23105,0.15426,0.65291
Boredom,0.0313,0.07428,0.21957,0.42907
Boredom,0.02235,0.00704,0.16861,0.42903
Boredom,0.06605,0.10251,0.24564,0.57884
Boredom,0.00983,0.1314,0.0035,0.45868
Boredom,0.06115,0.05298,0.55755,0.44955
Boredom,0.03437,0.06897,0.58357,0.61953
Boredom,0.0366,0.13311,0.35598,0.51602
Boredom,0.07112,0.07673,0.66696,0.45815
Boredom,0.03596,0.18204,0.07618,0.48372
Boredom,0.02759,0.06525,0.81578,0.49912
Boredom,0.01038,0.01723,0.73654,0.53765
Boredom,0.06682,0.22418,0.62755,0.48006
Boredom,0.00329,0.07503,0.23865,0.46684
Boredom,0.02129,0.16097,0.56686,0.44253
Boredom,0.02357,0.05134,0.25624,0.5083
Boredom,0.01351,0.1125,0.95302,0.49563
Boredom,0.011,0.08833,0.70346,0.53517
Boredom,0.01112,0.02041,0.9776,0.39158
Boredom,0.02678,0.03982,0.63613,0.50833
Boredom,0.05295,0.0104,0.05307,0.52134
Boredom,0.03868,0.04997,0.46186,0.466
Boredom,0.08522,0.12406,0.76727,0.54693
Boredom,0.04239,0.13635,0.29512,0.51536
Boredom,0.06319,0.05222,0.97177,0.48715
Boredom,0.04744,0.00735,0.09956,0.46607
Boredom,0.04227,0.07681,0.354,0.55379
Boredom,0.05579,0.06123,0.85598,0.4963
Boredom,0.04231,0.04034,0.55046,0.53621
Boredom,0.01874,0.02317,0.48974,0.40392
Boredom,0.00516,0.07465,0.0063,0.47575
Boredom,0.0488,0.15493,0.98497,0.43672
Boredom,0.03444,0.02638,0.42338,0.51006
Boredom,0.03001,0.00457,0.81898,0.46718
Boredom,0.02555,0.06079,0.80507,0.53435
Boredom,0.00555,0.11184,0.06567,0.54621
Boredom,0.04709,0.09784,0.78568,0.50339
Boredom,0.03131,0.04814,0.31713,0.5711
Boredom,0.11837,0.00692,0.82449,0.42818
Boredom,0.04184,0.09785,0.13129,0.52512
Boredom,0.01664,0.04124,0.77197,0.51856
Boredom,0.0051,0.01867,0.91203,0.50275
Boredom,0.0092,0.0446,0.35597,0.44894
Boredom,0.07924,0.18941,0.51868,0.49665
Boredom,0.0709,0.00803,0.30972,0.54079
Boredom,0.03028,0.13257,0.5466,0.49609
Boredom,0.00556,0.06497,0.65043,0.54446
Boredom,0.03465,0.16057,0.68115,0.5321
Boredom,0.04733,0.00013,0.45375,0.4887
Boredom,0.02741,0.03195,0.60824,0.60099
Boredom,0.13105,0.00566,0.70395,0.55554
Boredom,0.04505,0.17209,0.9019,0.45734
Boredom,0.03368,0.05816,0.29478,0.35534
Boredom,0.06274,0.06681,0.73823,0.49792
Boredom,0.03332,0.00219,0.9896,0.35942
Boredom,0.04374,0.01162,0.70727,0.45517
Boredom,0.02357,0.04586,0.73582,0.47423
Boredom,0.00946,0.03744,0.56991,0.42997
Boredom,0.09269,0.09103,0.03719,0.44663
Boredom,0.02669,0.11259,0.08267,0.4485
Boredom,0.06837,0.08876,0.35677,0.45863
Boredom,0.03943,0.07471,0.53889,0.44072
Boredom,0.08929,0.03125,0.57616,0.40828
Boredom,0.06944,0.03597,0.42216,0.5207
Boredom,0.07676,0.1003,0.9124,0.49504
Boredom,0.01263,0.0016,0.2967,0.52093
Boredom,0.00446,0.09636,0.88539,0.516
Boredom,0.00358,0.04472,0.46317,0.50152
Boredom,0.02422,0.06155,0.39844,0.54261
Boredom,0.10569,0.02882,0.08102,0.54672
Boredom,0.02178,0.01364,0.32321,0.50611
Boredom,0.00537,0.06289,0.63126,0.55185
Boredom,0.01082,0.06751,0.96769,0.50136
Boredom,0.04516,0.05206,0.81593,0.57858
Boredom,0.00904,0.04823,0.02162,0.38864
Boredom,0.07924,0.13956,0.3831,0.54573
Boredom,0.0233,0.03721,0.05583,0.47606
Boredom,0.05856,0.02871,0.93069,0.42892
Boredom,0.03392,0.02293,0.81954,0.51316
Boredom,0.07582,0.10042,0.49222,0.57756
Boredom,0.05988,0.08332,0.58972,0.44325
Boredom,0.08066,0.0117,0.74933,0.56541
Boredom,0.02467,0.05858,0.42447,0.3681
Boredom,0.0108,0.05764,0.4791,0.40798
Boredom,0.05647,0.0338,0.91328,0.46321
Boredom,0.0193,0.07724,0.42411,0.49742
Boredom,0.00924,0.15248,0.43631,0.58337
Boredom,0.06732,0.03379,0.43208,0.47083
Boredom,0.01201,0.00784,0.58828,0.4949
Boredom,0.03156,0.02228,0.18435,0.57594
Boredom,0.02701,0.01299,0.59125,0.51905
Boredom,0.05167,0.12447,0.58639,0.5174
Boredom,0.10072,0.01644,0.07233,0.52512
Boredom,0.07203,0.01455,0.39321,0.49032
Boredom,0.00013,0.08401,0.21863,0.47952
Boredom,0.01689,0.06658,0.12026,0.54735
Boredom,0.04408,0.03087,0.37899,0.52854
Boredom,0.04837,0.09662,0.1218,0.57688
Boredom,0.02536,0.11523,0.10516,0.5007
Boredom,0.01998,0.05354,0.41545,0.54413
Boredom,0.01482,0.00926,0.26681,0.53545
Boredom,0.03513,0.06558,0.13054,0.4688
Boredom,0.04823,0.07979,0.93309,0.5701
Boredom,0.00208,0.06722,0.69303,0.53495
Boredom,0.02003,0.08397,0.352,0.41777
Boredom,0.14407,0.04136,0.77635,0.57908
Boredom,0.06795,0.1514,0.34258,0.54955
Boredom,0.01455,0.03745,0.28864,0.57132
Boredom,0.06413,0.00723,0.41302,0.5227
Boredom,0.09157,0.14064,0.08532,0.469
Boredom,0.03818,0.22356,0.73581,0.50639
Boredom,0.04712,0.0097,0.71167,0.41832
Boredom,0.02691,0.09255,0.15197,0.59081
Boredom,0.0647,0.05104,0.4657,0.59958
Boredom,0.03476,0.05993,0.04574,0.5752
Boredom,0.02456,0.02674,0.27881,0.52256
Boredom,0.00701,0.04021,0.1084,0.5178
Boredom,0.0687,0.09607,0.14702,0.48855
Boredom,0.08139,0.20822,0.93859,0.50196
Boredom,0.05288,0.14692,0.34374,0.60592
Boredom,0.05061,0.07605,0.78353,0.5363
Boredom,0.03377,0.10762,0.85233,0.4492
Boredom,0.06796,0.10749,0.16987,0.49671
Boredom,0.05122,0.14189,0.4529,0.51583
Boredom,0.08536,0.03761,0.28313,0.4434
Boredom,0.04532,0.14665,0.46798,0.46707
Boredom,0.1034,0.04178,0.8065,0.45173
Boredom,0.1047,0.06936,0.15901,0.60696
Boredom,0.06129,0.04395,0.46058,0.50028
Boredom,0.08646,0.19862,0.70461,0.48188
Boredom,0.03952,0.05111,0.55314,0.48912
Boredom,0.04961,0.13915,0.95495,0.50258
Boredom,0.03161,0.05033,0.38063,0.54517
Boredom,0.02739,0.02011,0.53727,0.51292
Boredom,0.03853,0.02063,0.62244,0.49353
Boredom,0.01944,0.03227,0.86131,0.45601
Boredom,0.03491,0.15014,0.54517,0.43538
Boredom,0.03334,0.00638,0.38116,0.53341
Boredom,0.06976,0.02499,0.24261,0.52604
Boredom,0.06083,0.15779,0.26439,0.50721
Boredom,0.05324,0.22498,0.7146,0.41603
Boredom,0.02267,0.14617,0.05467,0.42882
Boredom,0.06139,0.01542,0.44515,0.48411
Boredom,0.08613,0.12013,0.98509,0.46404
Boredom,0.00607,0.21267,0.58148,0.57691
Boredom,0.00399,0.08295,0.35291,0.43684
Boredom,0.00848,0.05645,0.5773,0.57963
Boredom,0.05018,0.22133,0.5923,0.54998
Boredom,0.0525,0.10512,0.22228,0.52286
Boredom,0.04851,0.01812,0.32137,0.53086
Boredom,0.0407,0.10657,0.9318,0.542
Boredom,0.01526,0.00307,0.33696,0.52276
Boredom,0.01911,0.03929,0.19449,0.52181
Boredom,0.01966,0.01431,0.5217,0.53678
Boredom,0.04769,0.00341,0.48138,0.55324
Boredom,0.03892,0.1142,0.80308,0.49882
Boredom,0.02364,0.11818,0.52368,0.50551
Boredom,0.03827,0.24986,0.38638,0.58754
Boredom,0.07595,0.03722,0.67431,0.4591
Boredom,0.0188,0.02129,0.72152,0.46987
Boredom,0.05178,0.06977,0.79355,0.49641
Boredom,0.01284,0.04667,0.81891,0.40815
Boredom,0.04628,0.12544,0.2829,0.47552
Boredom,0.0256,0.07948,0.20885,0.53309
Boredom,0.07517,0.03913,0.76499,0.53074
Boredom,0.00313,0.0323,0.15909,0.46835
Boredom,0.00445,0.05578,0.05607,0.45978
Boredom,0.00973,0.04663,0.76643,0.40218
Boredom,0.01667,0.06927,0.84079,0.44951
Boredom,0.0279,0.03304,0.63756,0.52267
Boredom,0.03901,0.04122,0.2169,0.47093
Boredom,0.01627,0.11746,0.29206,0.57548
Boredom,0.10182,0.07636,0.22941,0.49371
Boredom,0.0762,0.04862,0.12592,0.52548
Boredom,0.04512,0.05488,0.36423,0.59084
Boredom,0.01225,0.0535,0.33933,0.43131
Boredom,0.00046,0.03243,0.81965,0.46292
Boredom,0.08079,0.02389,0.20012,0.5389
Boredom,0.00633,0.09258,0.12321,0.53147
Boredom,0.03506,0.04226,0.74015,0.43977
Boredom,0.0456,0.23498,0.38744,0.46933
Boredom,0.08477,0.08227,0.67844,0.54375
Boredom,0.05602,0.11667,0.60214,0.51403
Boredom,0.01317,0.01931,0.9726,0.5518
Boredom,0.0654,0.06112,0.59745,0.60706
Boredom,0.0002,0.02817,0.54862,0.55899
Boredom,0.07301,0.03119,0.14784,0.53945
Boredom,0.05725,0.13319,0.04995,0.4929
Boredom,0.04573,0.04395,0.82803,0.49289
Boredom,0.03602,0.09474,0.08278,0.53765
Boredom,0.06864,0.1393,0.81244,0.49619
Boredom,0.02041,0.00317,0.1224,0.55539
Boredom,0.08171,0.00294,0.60528,0.49037
Boredom,0.00676,0.00199,0.07693,0.48751
Boredom,0.02556,0.0653,0.83157,0.46533
Boredom,0.06197,0.01725,0.55255,0.43049
Boredom,0.04688,0.00945,0.3811,0.43832
Boredom,0.0231,0.032,0.46243,0.51554
Boredom,0.03174,0.03313,0.31372,0.59517
Boredom,0.06449,0.11489,0.3465,0.61155
Boredom,0.04118,0.07095,0.86098,0.50382
Boredom,0.01041,0.00115,0.40403,0.56721
Boredom,0.02048,0.04294,0.88703,0.48955
Boredom,0.07631,0.12244,0.59462,0.53798
Boredom,0.02214,0.02542,0.57861,0.47922
Boredom,0.00125,0.07777,0.77688,0.53077
Boredom,0.01624,0.05415,0.64801,0.52122
Boredom,0.00405,0.11412,0.0943,0.51441
Boredom,0.03388,0.05801,0.44223,0.5273
Boredom,0.07678,0.04574,0.70361,0.56185
Boredom,0.04364,0.0855,0.128,0.42818
Boredom,0.00112,0.04464,0.39862,0.57742
Boredom,0.02894,0.00289,0.16147,0.54296
Boredom,0.03109,0.07415,0.53327,0.50169
Boredom,0.00464,0.12748,0.39572,0.50919
Boredom,0.0416,0.04158,0.94358,0.50303
Boredom,0.01151,0.06561,0.82869,0.5117
Boredom,0.00544,0.23315,0.41258,0.47381
Boredom,0.03828,0.08213,0.4639,0.48804
Boredom,0.05346,0.05978,0.74198,0.52562
Boredom,0.06179,0.19622,0.58601,0.46386
Boredom,0.02737,0.10352,0.56055,0.47071
Boredom,0.11338,0.03615,0.93777,0.54599
Boredom,0.06517,0.02456,0.12457,0.43273
Boredom,0.00137,0.08757,0.54195,0.56292
Boredom,0.06979,0.04479,0.10783,0.51113
Boredom,0.05391,0.04398,0.97671,0.41801
Boredom,0.07784,0.07404,0.94572,0.5936
Boredom,0.02798,0.05755,0.28676,0.54941
Boredom,0.00499,0.08796,0.92679,0.4852
Boredom,0.01577,0.16129,0.63555,0.49484
Boredom,0.07295,0.14066,0.94641,0.45394
Boredom,0.08469,0.00672,0.25729,0.58588
Boredom,0.05793,0.0717,0.6223,0.44913
Boredom,0.13433,0.15359,0.52226,0.59477
Boredom,0.1115,0.01546,0.31735,0.52283
Boredom,0.05951,0.13488,0.80015,0.50914
Boredom,0.03669,0.05033,0.59964,0.4345
Boredom,0.02056,0.04791,0.68548,0.42587
Boredom,0.0432,0.02695,0.93855,0.40425
Boredom,0.07188,0.12779,0.52474,0.52316
Boredom,0.04845,0.0797,0.19858,0.45556
Boredom,0.03587,0.15879,0.33028,0.56929
Boredom,0.01597,0.01595,0.84668,0.51026
Boredom,0.01328,0.07125,0.84591,0.49138
Boredom,0.04945,0.05777,0.56077,0.57187
Boredom,0.00807,0.05997,0.92828,0.53602
Boredom,0.02634,0.00958,0.889,0.52099
Boredom,0.00265,0.13681,0.35765,0.44266
Boredom,0.0048,0.03416,0.87768,0.44034
Boredom,0.0268,0.00709,0.59744,0.44106
Boredom,0.00754,0.10716,0.97656,0.45904
Boredom,0.01642,0.14578,0.27389,0.53186
Boredom,0.10728,0.03034,0.47349,0.43912
Boredom,0.00566,0.0938,0.98536,0.52864
Boredom,0.03133,0.06024,0.91083,0.56441
Boredom,0.01863,0.04262,0.39056,0.54557
Boredom,0.03896,0.04668,0.19031,0.51263
Boredom,0.04292,0.06033,0.44527,0.48391
Boredom,0.07483,0.03918,0.40025,0.5016
Boredom,0.04027,0.07156,0.73741,0.47398
Boredom,0.04195,0.24127,0.93359,0.46906
Boredom,0.02563,0.07732,0.31972,0.60291
Fear,0.89981,0.89105,0.01839,0.04461
Fear,0.9337,0.87946,0.02724,0.05743
Fear,0.91373,0.91483,0.00479,0.02721
Fear,0.88389,0.98183,0.00932,0.04744
Fear,0.92599,0.84071,0.01701,0.02777
Fear,0.92452,0.98638,0.01497,0.01288
Fear,0.90695,0.9297,0.06467,0.01039
Fear,0.7855,0.82359,0.00813,0.09161
Fear,0.95191,0.96037,0.00517,0.01292
Fear,0.87964,0.97776,0.00472,0.05377
Fear,0.8829,0.81717,0.00905,0.02999
Fear,0.93538,0.93893,0.04145,0.01922
Fear,0.93015,0.99594,0.04642,0.0045
Fear,0.9615,0.89693,0.01361,0.07574
Fear,0.90642,0.97286,0.01697,0.09574
Fear,0.91974,0.96703,0.16754,0.00678
Fear,0.93513,0.83184,0.04723,0.05056
Fear,0.98249,0.89391,0.03966,0.0241
Fear,0.89876,0.94445,0.03074,0.02634
Fear,0.88302,0.88165,0.05636,0.00547
Fear,0.8616,0.92064,0.02719,0.06737
Fear,0.97227,0.93103,0.01048,0.03039
Fear,0.96266,0.87043,0.03051,0.07366
Fear,0.78077,0.84844,0.0073,0.05275
Fear,0.92333,0.97192,0.04127,0.11244
Fear,0.97855,0.9517,0.01734,0.00509
Fear,0.98415,0.9703,0.01597,0.00705
Fear,0.87363,0.97121,0.01422,0.03877
Fear,0.85667,0.98216,0.01133,0.01267
Fear,0.93361,0.96152,0.01057,0.02475
Fear,0.96167,0.95149,0.03485,0.06236
Fear,0.94635,0.86876,0.04287,0.02139
Fear,0.99275,0.96799,0.01577,0.01028
Fear,0.94544,0.94027,0.01418,0.08239
Fear,0.87417,0.85423,0.00239,0.01162
Fear,0.93987,0.92979,0.01711,0.00148
Fear,0.83898,0.83939,0.06032,0.02844
Fear,0.7535,0.99204,0.02891,0.11064
Fear,0.92325,0.90997,0.02934,0.00063
Fear,0.86739,0.9267,0.03,0.04663
Fear,0.8851,0.89222,0.05034,0.04049
Fear,0.97391,0.95238,0.0264,0.00482
Fear,0.86886,0.98514,0.05619,0.02919
Fear,0.71213,0.98301,0.00045,0.03554
Fear,0.92815,0.83001,0.08777,0.05369
Fear,0.90505,0.95186,0.04685,0.01257
Fear,0.88447,0.90347,0.00968,0.0107
Fear,0.9917,0.95462,0.00021,0.04374
Fear,0.98929,0.95178,0.08997,0.00453
Fear,0.99259,0.99089,0.02785,0.07122
Fear,0.97972,0.94842,0.03,0.005
Fear,0.98857,0.88773,0.14212,0.14026
Fear,0.86475,0.98961,0.02893,0.03278
Fear,0.97487,0.92682,0.00152,0.0179
Fear,0.81624,0.95983,0.06319,0.03208
Fear,0.91928,0.97599,0.02503,0.08434
Fear,0.93824,0.90465,0.03208,0.06206
Fear,0.90834,0.95052,0.02438,0.04327
Fear,0.91096,0.7864,0.02189,0.04038
Fear,0.92962,0.98273,0.08785,0.00055
Fear,0.84143,0.8521,0.03961,0.01939
Fear,0.96872,0.91372,0.021,0.06117
Fear,0.76546,0.84786,0.04829,0.00076
Fear,0.96399,0.9796,0.03429,0.04553
Fear,0.91328,0.95025,0.03492,0.07846
Fear,0.91203,0.78211,0.02307,0.05088
Fear,0.97214,0.99048,0.00093,0.01419
Fear,0.96111,0.89388,0.07788,0.06398
Fear,0.87193,0.96403,0.00822,0.009
Fear,0.93858,0.84166,0.05352,0.10184
Fear,0.94954,0.97238,0.11168,0.03904
Fear,0.84915,0.95743,0.05099,0.01768
Fear,0.95235,0.8504,0.00498,0.01407
Fear,0.88968,0.85895,0.09601,0.0631
Fear,0.96323,0.91393,0.03521,0.1395
Fear,0.98028,0.9483,0.03967,0.1286
Fear,0.95518,0.80465,0.03252,0.03242
Fear,0.88401,0.97859,0.02077,0.02081
Fear,0.96262,0.91224,0.04722,0.02348
Fear,0.95872,0.83577,0.01565,0.00265
Fear,0.97919,0.91995,0.06701,0.00254
Fear,0.911,0.87859,0.12377,0.03779
Fear,0.95428,0.85579,0.07955,0.06669
Fear,0.95387,0.93096,0.05524,0.03632
Fear,0.82959,0.89906,0.03311,0.01592
Fear,0.95966,0.86442,0.0428,0.02181
Fear,0.94394,0.98486,0.0756,0.00356
Fear,0.98716,0.98162,0.04184,0.03942
Fear,0.94312,0.96601,0.00653,0.03805
Fear,0.97132,0.97279,0.00274,0.08958
Fear,0.867,0.99598,0.04661,0.00523
Fear,0.85144,0.92831,0.05685,0.06288
Fear,0.9436,0.9729,0.03815,0.00883
Fear,0.92723,0.97687,0.00774,0.03016
Fear,0.96157,0.95201,0.02629,0.02623
Fear,0.93301,0.89292,0.09216,0.00661
Fear,0.9447,0.89521,0.05128,0.06171
Fear,0.74963,0.95791,0.05013,0.01304
Fear,0.95033,0.85502,0.07895,0.07886
Fear,0.80137,0.99268,0.06169,0.08926
Fear,0.99269,0.88896,0.07436,0.06167
Fear,0.9357,0.9027,0.04202,0.02836
Fear,0.89075,0.85413,0.05237,0.06957
Fear,0.93768,0.63473,0.04653,0.06454
Fear,0.90755,0.94765,0.07057,0.04915
Fear,0.99388,0.93881,0.07696,0.01624
Fear,0.96267,0.87242,0.09213,0.08217
Fear,0.91462,0.80082,0.00538,0.00039
Fear,0.99997,0.84763,0.04224,0.07079
Fear,0.96889,0.9835,0.00519,0.02406
Fear,0.99684,0.99303,0.09543,0.04963
Fear,0.87502,0.87402,0.01606,0.01339
Fear,0.84668,0.99565,0.01686,0.04026
Fear,0.97005,0.89001,0.00301,0.1033
Fear,0.98648,0.95119,0.01066,0.06007
Fear,0.98405,0.94082,0.09256,0.02091
Fear,0.97167,0.9804,0.0003,0.03054
Fear,0.99435,0.89379,0.07171,0.03336
Fear,0.99202,0.95937,0.00354,0.07937
Fear,0.90658,0.81668,0.05387,0.00308
Fear,0.90648,0.84575,0.02232,0.02928
Fear,0.9931,0.92674,0.01156,0.04293
Fear,0.95713,0.84453,0.04743,0.06871
Fear,0.99941,0.89294,0.03244,0.03249
Fear,0.9787,0.96229,0.06097,0.0264
Fear,0.99312,0.94138,0.07529,0.06975
Fear,0.83469,0.9622,0.00852,0.02862
Fear,0.82423,0.9395,0.03211,0.08845
Fear,0.90266,0.89238,0.06709,0.01469
Fear,0.91146,0.99626,0.02677,0.02856
Fear,0.9631,0.95932,0.09945,0.03129
Fear,0.94836,0.85555,0.03107,0.03018
Fear,0.89522,0.98288,0.03982,0.01461
Fear,0.93834,0.95271,0.01311,0.00929
Fear,0.97797,0.98243,0.01583,0.03022
Fear,0.88306,0.87848,0.00842,0.0001
Fear,0.89858,0.98535,0.06694,0.05368
Fear,0.93385,0.82668,0.07493,0.10358
Fear,0.82955,0.88951,0.03672,0.00088
Fear,0.9545,0.91368,0.03405,0.04873
Fear,0.87236,0.87905,0.00528,0.05063
Fear,0.95942,0.9579,0.00589,0.1311
Fear,0.91256,0.9427,0.01668,0.02263
Fear,0.92398,0.88497,0.06289,0.06331
Fear,0.99867,0.94456,0.05588,0.09205
Fear,0.92781,0.90913,0.01861,0.05175
Fear,0.90553,0.87379,0.00134,0.10643
Fear,0.9729,0.89257,0.0091,0.00518
Fear,0.76175,0.87042,0.01904,0.04484
Fear,0.99944,0.98833,0.07508,0.04551
Fear,0.91072,0.91585,0.0174,0.05105
Fear,0.99909,0.91841,0.04258,0.00666
Fear,0.97725,0.90272,0.04378,0.01033
Fear,0.9862,0.99142,0.02814,0.06364
Fear,0.9264,0.88638,0.06969,0.0895
Fear,0.93532,0.99505,0.019,0.02368
Fear,0.89516,0.85656,0.03033,0.0149
Fear,0.92725,0.92394,0.05846,0.01939
Fear,0.91527,0.80606,0.06235,0.0058
Fear,0.98778,0.89215,0.11386,0.01253
Fear,0.70969,0.90472,0.00843,0.0414
Fear,0.83918,0.84707,0.02851,0.07815
Fear,0.91458,0.9143,0.03101,0.0026
Fear,0.88661,0.90072,0.04498,0.01103
Fear,0.97116,0.95016,0.06508,0.00504
